GR,F1,AGE,Count
Всего,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",25-29,1
Всего,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",30-34,11
Всего,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",35-39,9
Всего,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",40-44,26
Всего,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",45-49,36
Всего,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",50-54,18
Всего,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",55-59,25
Всего,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",60-64,12
Всего,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",65-69,4
Всего,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",70-74,0
Всего,"K73, K74.0-K74.2, K74.6",Всего,347
Всего,"K73, K74.0-K74.2, K74.6",0-4,0
Всего,"K73, K74.0-K74.2, K74.6",5-9,0
Всего,"K73, K74.0-K74.2, K74.6",10-14,1
Всего,"K73, K74.0-K74.2, K74.6",15-19,0
Всего,"K73, K74.0-K74.2, K74.6",20-24,1
Всего,"K73, K74.0-K74.2, K74.6",25-29,3
Всего,"K73, K74.0-K74.2, K74.6",30-34,3
Всего,"K73, K74.0-K74.2, K74.6",35-39,19
Всего,"K73, K74.0-K74.2, K74.6",40-44,44
Всего,"K73, K74.0-K74.2, K74.6",45-49,46
Всего,"K73, K74.0-K74.2, K74.6",50-54,59
Всего,"K73, K74.0-K74.2, K74.6",55-59,46
Всего,"K73, K74.0-K74.2, K74.6",60-64,52
Всего,"K73, K74.0-K74.2, K74.6",65-69,46
Всего,"K73, K74.0-K74.2, K74.6",70-74,27
Всего,All,Всего,5511
Всего,All,0-4,182
Всего,All,5-9,10
Всего,All,10-14,14
Всего,All,15-19,17
Всего,All,20-24,14
Всего,All,25-29,29
Всего,All,30-34,90
Всего,All,35-39,135
Всего,All,40-44,271
Всего,All,45-49,385
Всего,All,50-54,496
Всего,All,55-59,672
Всего,All,60-64,928
Всего,All,65-69,1102
Всего,All,70-74,1166
Мужчины,C33-C34,Всего,141
Мужчины,C50,0-4,
Мужчины,C33-C34,0-4,
Мужчины,C33-C34,5-9,
Мужчины,C33-C34,10-14,
Мужчины,C33-C34,15-19,1
Мужчины,C33-C34,20-24,
Мужчины,C33-C34,25-29,2
Мужчины,C33-C34,30-34,3
Мужчины,C33-C34,35-39,2
Мужчины,C33-C34,40-44,1
Мужчины,C33-C34,45-49,1
Мужчины,C33-C34,50-54,7
Мужчины,C33-C34,55-59,15
Мужчины,C33-C34,60-64,40
Мужчины,C33-C34,65-69,44
Мужчины,C33-C34,70-74,25
Мужчины,E10-E14,Всего,160
Мужчины,E10-E14,0-4,
Мужчины,E10-E14,5-9,
Мужчины,E10-E14,10-14,
Мужчины,E10-E14,15-19,
Мужчины,E10-E14,20-24,
Мужчины,E10-E14,25-29,
Мужчины,E10-E14,30-34,1
Мужчины,E10-E14,35-39,1
Мужчины,E10-E14,40-44,5
Мужчины,E10-E14,45-49,5
Мужчины,E10-E14,50-54,12
Мужчины,E10-E14,55-59,17
Мужчины,E10-E14,60-64,37
Мужчины,E10-E14,65-69,45
Мужчины,E10-E14,70-74,37
Мужчины,"I10-I13, I15",Всего,108
Мужчины,"I10-I13, I15",0-4,
Мужчины,"I10-I13, I15",5-9,
Мужчины,"I10-I13, I15",10-14,
Мужчины,"I10-I13, I15",15-19,
Мужчины,"I10-I13, I15",20-24,
Мужчины,"I10-I13, I15",25-29,1
Мужчины,"I10-I13, I15",30-34,
Мужчины,"I10-I13, I15",35-39,2
Мужчины,"I10-I13, I15",40-44,8
Мужчины,"I10-I13, I15",45-49,7
Мужчины,"I10-I13, I15",50-54,13
Мужчины,"I10-I13, I15",55-59,27
Мужчины,"I10-I13, I15",60-64,24
Мужчины,"I10-I13, I15",65-69,17
Мужчины,"I10-I13, I15",70-74,9
Мужчины,I20-I25,Всего,978
Мужчины,I20-I25,0-4,
Мужчины,I20-I25,5-9,
Мужчины,I20-I25,10-14,
Мужчины,I20-I25,15-19,
Мужчины,I20-I25,20-24,1
Мужчины,I20-I25,25-29,1
Мужчины,I20-I25,30-34,9
Мужчины,I20-I25,35-39,18
Мужчины,I20-I25,40-44,34
Мужчины,I20-I25,45-49,77
Мужчины,I20-I25,50-54,118
Мужчины,I20-I25,55-59,171
Мужчины,I20-I25,60-64,182
Мужчины,I20-I25,65-69,189
Мужчины,I20-I25,70-74,178
Мужчины,I60-I69,Всего,480
Мужчины,I60-I69,0-4,1
Мужчины,I60-I69,5-9,1
Мужчины,I60-I69,10-14,
Мужчины,I60-I69,15-19,1
Мужчины,I60-I69,20-24,1
Мужчины,I60-I69,25-29,3
Мужчины,I60-I69,30-34,7
Мужчины,I60-I69,35-39,7
Мужчины,I60-I69,40-44,18
Мужчины,I60-I69,45-49,35
Мужчины,I60-I69,50-54,43
Мужчины,I60-I69,55-59,67
Мужчины,I60-I69,60-64,88
Мужчины,I60-I69,65-69,105
Мужчины,I60-I69,70-74,103
Мужчины,J40-J44,Всего,212
Мужчины,J40-J44,0-4,
Мужчины,J40-J44,5-9,
Мужчины,J40-J44,10-14,
Мужчины,J40-J44,15-19,
Мужчины,J40-J44,20-24,
Мужчины,J40-J44,25-29,
Мужчины,J40-J44,30-34,
Мужчины,J40-J44,35-39,1
Мужчины,J40-J44,40-44,1
Мужчины,J40-J44,45-49,10
Мужчины,J40-J44,50-54,8
Мужчины,J40-J44,55-59,21
Мужчины,J40-J44,60-64,42
Мужчины,J40-J44,65-69,61
Мужчины,J40-J44,70-74,68
Мужчины,"J12, J15, J16- J18",Всего,177
Мужчины,"J12, J15, J16- J18",0-4,16
Мужчины,"J12, J15, J16- J18",5-9,1
Мужчины,"J12, J15, J16- J18",10-14,
Мужчины,"J12, J15, J16- J18",15-19,2
Мужчины,"J12, J15, J16- J18",20-24,2
Мужчины,"J12, J15, J16- J18",25-29,
Мужчины,"J12, J15, J16- J18",30-34,3
Мужчины,"J12, J15, J16- J18",35-39,13
Мужчины,"J12, J15, J16- J18",40-44,13
