GR,МКБ-10,Всего,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74
Всего,K25-K28,56,0,0,0,1,0,0,0,1,4,2,6,5,9,13,15
Всего,K35-K38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,K40-K46,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Всего,K80-K81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Всего,K82-K83,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Всего,"K85.0,1,3,8,9",32,0,0,0,0,0,0,7,3,6,2,2,4,6,1,1
Всего,"K86.1,2,3,8,9",9,0,0,0,0,0,0,0,1,0,1,1,2,2,1,1
Всего,N00-N07,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Всего,"N13,N20-N21, N35",9,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4
Всего,N17-N19,153,2,0,3,0,0,1,4,4,7,3,11,17,21,41,39
Всего,N23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,N25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,N26-N27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,"N34.1,N70-N73,N75.0,N75.1,N76.4,6",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Всего,N40,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Всего,A33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,A34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,O00-O99,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Всего,P00-P96,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,"Q00, Q01, Q05",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,Q20-Q28,54,48,0,3,0,0,0,0,0,1,0,0,1,1,0,0
Всего,Y40-Y59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,"Y60-Y69,Y83-Y84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,Y70–Y82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,V01-V99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,"W00-X39, X46-X59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,X66-X84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,Y16-Y34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,X86-Y09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,"E24.4, F10, G31.2, G62.1, G72.1, I42.6, K29.2, K70",143,0,0,0,0,1,1,11,9,26,36,18,25,12,4,0
Всего,"K73, K74.0-K74.2, K74.6",347,0,0,1,0,1,3,3,19,44,46,59,46,52,46,27
Всего,"F11-F16, F18-F19, X40-X44, X85, Y10-Y14",2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Всего,X60-X64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,U07.1 - U07.2 (COVID-19),93,0,0,0,1,1,2,1,1,3,6,8,6,20,23,21
Всего,All,5511,182,10,14,17,14,29,90,135,271,385,496,672,928,1102,1166
